#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         205     1.65461     2.02102   0.0372923
         206     1.65305     2.01924    0.037154
         207     1.65164     2.01746   0.0370169
         208     1.65038      2.0157    0.036881
         209     1.64929     2.01394   0.0367462
         210     1.64838      2.0122   0.0366124
         211     1.64766     2.01047   0.0364796
         212     1.64713     2.00876   0.0363478
         213     1.64681     2.00706   0.0362169
         214     1.64671     2.00538   0.0360867
         215     1.64683     2.00371   0.0359574
         216      1.6472     2.00206   0.0358288
         217     1.64782     2.00043   0.0357009
         218     1.64871     1.99881   0.0355735
         219     1.64987     1.99722   0.0354468
         220     1.65132     1.99565   0.0353205
         221     1.65307      1.9941   0.0351947
         222     1.65512     1.99257   0.0350692
         223      1.6575     1.99107   0.0349442
         224     1.66019     1.98959   0.0348194
         225     1.66321     1.98814   0.0346948
         226     1.66654     1.98672   0.0345705
         227     1.67019     1.98532   0.0344463
         228     1.67415     1.98396   0.0343222
         229     1.67838     1.98262   0.0341983
         230     1.68289     1.98132   0.0340744
         231     1.68764     1.98005   0.0339506
         232     1.69261     1.97881   0.0338269
         233     1.69777      1.9776   0.0337032
         234     1.70308     1.97643   0.0335796
         235     1.70849     1.97529    0.033456
         236     1.71399     1.97418   0.0333326
         237     1.71951     1.97311   0.0332093
         238     1.72502     1.97207   0.0330861
         239     1.73049     1.97106   0.0329631
         240     1.73587     1.97008   0.0328403
         241     1.74114     1.96913   0.0327178
         242     1.74625      1.9682   0.0325955
         243     1.75119     1.96731   0.0324736
         244     1.75592     1.96645   0.0323521
         245     1.76042      1.9656    0.032231
         246     1.76467     1.96479   0.0321103
         247     1.76867     1.96399   0.0319901
         248     1.77239     1.96322   0.0318704
         249     1.77584     1.96247   0.0317513
         250     1.77901     1.96173   0.0316328
         251      1.7819     1.96102   0.0315149
         252     1.78451     1.96032   0.0313976
         253     1.78685     1.95963    0.031281
         254     1.78893     1.95896   0.0311651
         255     1.79076      1.9583   0.0310498
         256     1.79234     1.95765   0.0309353
         257      1.7937     1.95701   0.0308215
         258     1.79483     1.95639   0.0307085
         259     1.79577     1.95577   0.0305962
         260     1.79651     1.95515   0.0304846
         261     1.79707     1.95455   0.0303738
         262     1.79747     1.95395   0.0302638
         263     1.79772     1.95335   0.0301546
         264     1.79783     1.95276   0.0300461
         265     1.79782     1.95218   0.0299384
         266      1.7977      1.9516   0.0298315
         267     1.79747     1.95102   0.0297253
         268     1.79715     1.95045     0.02962
         269     1.79674     1.94988   0.0295154
         270     1.79626     1.94931   0.0294115
         271     1.79572     1.94874   0.0293085
         272     1.79511     1.94818   0.0292062
         273     1.79445     1.94761   0.0291046
         274     1.79373     1.94705   0.0290038
         275     1.79298     1.94649   0.0289037
         276     1.79217     1.94593   0.0288044
         277     1.79133     1.94537   0.0287058
         278     1.79045     1.94482    0.028608
         279     1.78952     1.94426   0.0285109
         280     1.78855      1.9437   0.0284145
         281     1.78754     1.94315   0.0283188
         282     1.78648     1.94259   0.0282238
         283     1.78538     1.94204   0.0281296
         284     1.78422     1.94148    0.028036
         285       1.783     1.94092   0.0279431
         286     1.78172     1.94037    0.027851
         287     1.78037     1.93981   0.0277595
         288     1.77895     1.93925   0.0276687
         289     1.77745     1.93869   0.0275787
         290     1.77587     1.93813   0.0274893
         291     1.77419     1.93757   0.0274006
         292     1.77242       1.937   0.0273126
         293     1.77055     1.93643   0.0272253
         294     1.76857     1.93586   0.0271387
         295     1.76648     1.93529   0.0270527
         296     1.76427     1.93471   0.0269675
         297     1.76195     1.93413    0.026883
         298     1.75951     1.93354   0.0267992
         299     1.75695     1.93295    0.026716
         300     1.75427     1.93236   0.0266336
         301     1.75148     1.93176   0.0265519
         302     1.74858     1.93115   0.0264709
         303     1.74556     1.93054   0.0263906
         304     1.74245     1.92992   0.0263111
         305     1.73925     1.92929   0.0262322
         306     1.73596     1.92866   0.0261541
         307      1.7326     1.92802   0.0260767
         308     1.72917     1.92738   0.0260001
         309     1.72569     1.92672   0.0259241
         310     1.72215     1.92606   0.0258489
         311     1.71859      1.9254   0.0257744
         312     1.71499     1.92472   0.0257006
         313     1.71138     1.92404   0.0256275
         314     1.70775     1.92335   0.0255551
         315     1.70412     1.92266   0.0254835
         316     1.70048     1.92195   0.0254126
         317     1.69684     1.92124   0.0253423
         318     1.69321     1.92053   0.0252728
         319     1.68958      1.9198   0.0252039
         320     1.68595     1.91907   0.0251357
         321     1.68231     1.91833   0.0250682
         322     1.67868     1.91759   0.0250014
         323     1.67503     1.91684   0.0249353
         324     1.67138     1.91608   0.0248699
         325     1.66771     1.91532   0.0248051
         326     1.66402     1.91455    0.024741
         327     1.66032     1.91377   0.0246775
         328      1.6566     1.91298   0.0246147
         329     1.65285     1.91219   0.0245526
         330     1.64909      1.9114   0.0244911
         331     1.64532     1.91059   0.0244303
         332     1.64153     1.90978   0.0243702
         333     1.63775     1.90897   0.0243107
         334     1.63398     1.90814   0.0242518
         335     1.63023     1.90731   0.0241936
         336     1.62652     1.90648   0.0241361
         337     1.62287     1.90564   0.0240791
         338     1.61929     1.90479   0.0240228
         339     1.61582     1.90394    0.023967
         340     1.61246     1.90308   0.0239119
         341     1.60923     1.90222   0.0238573
         342     1.60617     1.90135   0.0238032
         343     1.60329     1.90048   0.0237497
         344     1.60061     1.89961   0.0236966
         345     1.59815     1.89874    0.023644
         346     1.59594     1.89786   0.0235919
         347     1.59398     1.89699   0.0235401
         348      1.5923     1.89611   0.0234888
         349      1.5909     1.89524   0.0234378
         350      1.5898     1.89436    0.023387
         351       1.589     1.89349   0.0233366
         352     1.58851     1.89263   0.0232864
         353     1.58833     1.89176   0.0232363
         354     1.58846     1.89091   0.0231865
         355     1.58891     1.89006   0.0231368
         356     1.58966     1.88921   0.0230872
         357     1.59071     1.88838   0.0230376
         358     1.59206     1.88755   0.0229881
         359     1.59369     1.88673   0.0229387
         360     1.59559     1.88592   0.0228892
         361     1.59775     1.88512   0.0228397
         362     1.60014     1.88434   0.0227902
         363     1.60276     1.88356   0.0227406
         364     1.60559      1.8828    0.022691
         365     1.60861     1.88205   0.0226412
         366      1.6118     1.88131   0.0225914
         367     1.61513     1.88058   0.0225415
         368     1.61858     1.87987   0.0224915
         369     1.62214     1.87917   0.0224414
         370     1.62579     1.87849   0.0223911
         371     1.62949     1.87782   0.0223408
         372     1.63324     1.87716   0.0222905
         373     1.63702     1.87651     0.02224
         374      1.6408     1.87588   0.0221895
         375     1.64457     1.87527   0.0221389
         376     1.64831     1.87466   0.0220882
         377       1.652     1.87407   0.0220375
         378     1.65564      1.8735   0.0219868
         379     1.65921     1.87293    0.021936
         380      1.6627     1.87238   0.0218853
         381     1.66609     1.87184   0.0218345
         382     1.66938     1.87131   0.0217838
         383     1.67256     1.87079   0.0217331
         384     1.67561     1.87028   0.0216825
         385     1.67854     1.86978   0.0216319
         386     1.68133     1.86929   0.0215813
         387     1.68398     1.86881   0.0215309
         388     1.68648     1.86834   0.0214805
         389     1.68882     1.86788   0.0214303
         390     1.69099     1.86743   0.0213801
         391     1.69299     1.86698   0.0213301
         392     1.69481     1.86654   0.0212802
         393     1.69643     1.86611   0.0212304
         394     1.69785     1.86568   0.0211809
         395     1.69905     1.86526   0.0211314
         396     1.70003     1.86484   0.0210822
         397     1.70078     1.86443   0.0210331
         398     1.70128     1.86402   0.0209843
         399     1.70153     1.86361   0.0209356
         400     1.70151     1.86321   0.0208872
         401     1.70123      1.8628    0.020839
         402     1.70067      1.8624   0.0207911
         403     1.69984       1.862   0.0207434
         404     1.69872     1.86159    0.020696
         405     1.69734     1.86119   0.0206489
         406      1.6957     1.86078   0.0206021
         407     1.69381     1.86037   0.0205555
         408     1.69168     1.85996   0.0205093
         409     1.68934     1.85954   0.0204634
         410     1.68682     1.85912   0.0204178
         411     1.68415     1.85869   0.0203726
         412     1.68136     1.85826   0.0203277
         413     1.67849     1.85783   0.0202831
         414     1.67558     1.85739   0.0202389
         415     1.67268     1.85694    0.020195
         416     1.66983     1.85649   0.0201515
         417     1.66707     1.85604   0.0201083
         418     1.66443     1.85558   0.0200654
         419     1.66196     1.85512   0.0200228
         420     1.65968     1.85465   0.0199806
         421     1.65762     1.85418   0.0199386
         422      1.6558     1.85371   0.0198969
         423     1.65422     1.85324   0.0198554
         424     1.65288     1.85277   0.0198142
         425     1.65178      1.8523   0.0197732
         426     1.65091     1.85182   0.0197325
         427     1.65023     1.85135   0.0196919
         428     1.64973     1.85088   0.0196515
         429     1.64937     1.85041   0.0196113
         430     1.64912     1.84994   0.0195713
         431     1.64894     1.84948   0.0195315
         432     1.64879     1.84901   0.0194918
         433     1.64864     1.84855   0.0194523
         434     1.64845     1.84809   0.0194129
         435      1.6482     1.84763   0.0193737
         436     1.64785     1.84717   0.0193347
         437     1.64738     1.84671   0.0192959
         438     1.64679     1.84626   0.0192572
         439     1.64604      1.8458   0.0192187
         440     1.64514     1.84534   0.0191805
         441     1.64408     1.84489   0.0191424
         442     1.64287     1.84443   0.0191045
         443     1.64151     1.84397   0.0190669
         444     1.64001     1.84351   0.0190295
         445     1.63837     1.84305   0.0189923
         446     1.63663     1.84259   0.0189554
         447     1.63478     1.84212   0.0189187
         448     1.63286     1.84166   0.0188822
         449     1.63087     1.84119    0.018846
         450     1.62884     1.84072     0.01881
         451     1.62678     1.84024   0.0187743
         452     1.62472     1.83977   0.0187388
         453     1.62265     1.83929   0.0187036
         454     1.62061      1.8388   0.0186686
         455      1.6186     1.83832   0.0186338
         456     1.61663     1.83783   0.0185993
         457     1.61471     1.83735    0.018565
         458     1.61285     1.83686   0.0185309
         459     1.61104     1.83636   0.0184971
         460      1.6093     1.83587   0.0184635
         461     1.60764     1.83537     0.01843
         462     1.60604     1.83488   0.0183968
         463     1.60453     1.83438   0.0183638
         464     1.60309     1.83388    0.018331
         465     1.60174     1.83338   0.0182984
         466     1.60047     1.83288    0.018266
         467      1.5993     1.83238   0.0182337
         468     1.59823     1.83188   0.0182016
         469     1.59727     1.83138   0.0181697
         470     1.59643     1.83088   0.0181379
         471     1.59572     1.83038   0.0181062
         472     1.59514     1.82989   0.0180747
         473     1.59471     1.82939   0.0180434
         474     1.59444     1.82889   0.0180121
         475     1.59432      1.8284   0.0179809
         476     1.59437     1.82791   0.0179499
         477     1.59459     1.82742   0.0179189
         478     1.59496     1.82693    0.017888
         479      1.5955     1.82645   0.0178572
         480     1.59618     1.82597   0.0178264
         481     1.59699     1.82549   0.0177957
         482     1.59791     1.82502   0.0177651
         483     1.59893     1.82455   0.0177345
         484     1.60001     1.82409   0.0177039
         485     1.60114     1.82363   0.0176734
         486     1.60229     1.82317   0.0176429
         487     1.60342     1.82272   0.0176124
         488     1.60451     1.82227    0.017582
         489     1.60553     1.82183   0.0175516
         490     1.60646     1.82139   0.0175213
         491     1.60726     1.82096    0.017491
         492     1.60792     1.82052   0.0174609
         493     1.60841     1.82009   0.0174307
         494     1.60872     1.81966   0.0174007
         495     1.60882     1.81924   0.0173708
         496      1.6087     1.81881   0.0173409
         497     1.60835     1.81839   0.0173112
         498     1.60777     1.81797   0.0172816
         499     1.60694     1.81754   0.0172521
         500     1.60586     1.81712   0.0172228
         501     1.60452      1.8167   0.0171937
         502     1.60293     1.81627   0.0171647
         503     1.60108     1.81584   0.0171359
         504     1.59897     1.81541   0.0171073
         505     1.59662     1.81498   0.0170789
         506     1.59403     1.81454   0.0170508
         507     1.59121      1.8141   0.0170228
         508     1.58818     1.81366   0.0169951
         509     1.58494     1.81321   0.0169677
         510     1.58152     1.81275   0.0169405
         511     1.57794      1.8123   0.0169136
         512     1.57421     1.81183   0.0168869
         513     1.57036     1.81136   0.0168606
         514     1.56642     1.81088   0.0168345
         515     1.56242      1.8104   0.0168087
         516     1.55837     1.80991   0.0167832
         517      1.5543     1.80942    0.016758
         518     1.55025     1.80892   0.0167332
         519     1.54624     1.80841   0.0167086
         520     1.54228      1.8079   0.0166843
         521     1.53838     1.80738   0.0166603
         522     1.53458     1.80686   0.0166365
         523     1.53088     1.80633   0.0166131
         524     1.52729      1.8058   0.0165899
         525     1.52382     1.80526    0.016567
         526     1.52047     1.80472   0.0165444
         527     1.51723     1.80418    0.016522
         528     1.51411     1.80363   0.0164998
         529      1.5111     1.80307   0.0164779
         530     1.50819     1.80252   0.0164562
         531     1.50539     1.80196   0.0164347
         532     1.50268     1.80139   0.0164134
         533     1.50007     1.80083   0.0163924
         534     1.49755     1.80026   0.0163715
         535     1.49512     1.79969   0.0163508
         536      1.4928     1.79912   0.0163304
         537     1.49058     1.79854   0.0163101
         538     1.48847     1.79797   0.0162899
         539     1.48649     1.79739   0.0162699
         540     1.48465     1.79681   0.0162501
         541     1.48296     1.79623   0.0162304
         542     1.48145     1.79565   0.0162109
         543     1.48012     1.79507   0.0161914
         544     1.47901     1.79449   0.0161721
         545     1.47811     1.79391   0.0161528
         546     1.47746     1.79333   0.0161336
         547     1.47707     1.79275   0.0161145
         548     1.47695     1.79217   0.0160954
         549     1.47712      1.7916   0.0160763
         550     1.47759     1.79103   0.0160572
         551     1.47836     1.79046   0.0160381
         552     1.47943      1.7899   0.0160189
         553     1.48082     1.78934   0.0159997
         554     1.48253     1.78878   0.0159804
         555     1.48454     1.78824    0.015961
         556     1.48686     1.78769   0.0159415
         557     1.48947     1.78716   0.0159219
         558     1.49237     1.78663   0.0159021
         559     1.49556     1.78611   0.0158822
         560     1.49901      1.7856   0.0158621
         561     1.50271     1.78509   0.0158418
         562     1.50665      1.7846   0.0158214
         563     1.51081     1.78411   0.0158008
         564     1.51517     1.78363   0.0157799
         565     1.51972     1.78317   0.0157589
         566     1.52444     1.78271   0.0157377
         567     1.52931     1.78226   0.0157163
         568     1.53432     1.78183   0.0156947
         569     1.53945      1.7814   0.0156729
         570     1.54468     1.78099   0.0156509
         571     1.54999     1.78058   0.0156287
         572     1.55538     1.78019   0.0156063
         573     1.56082      1.7798   0.0155838
         574     1.56631     1.77943   0.0155611
         575     1.57183     1.77907   0.0155382
         576     1.57738     1.77872   0.0155152
         577     1.58294     1.77838    0.015492
         578     1.58852     1.77805   0.0154687
         579      1.5941     1.77774   0.0154452
         580     1.59968     1.77743   0.0154217
         581     1.60526     1.77713    0.015398
         582     1.61083     1.77685   0.0153741
         583     1.61641     1.77657   0.0153502
         584     1.62199     1.77631   0.0153262
         585     1.62756     1.77605   0.0153021
         586     1.63314     1.77581    0.015278
         587     1.63872     1.77557   0.0152537
         588     1.64431     1.77535   0.0152294
         589      1.6499     1.77514   0.0152051
         590     1.65549     1.77494   0.0151806
         591     1.66107     1.77474   0.0151562
         592     1.66665     1.77456   0.0151317
         593      1.6722     1.77439   0.0151071
         594     1.67774     1.77423   0.0150826
         595     1.68323     1.77407    0.015058
         596     1.68867     1.77393   0.0150334
         597     1.69403      1.7738   0.0150088
         598     1.69931     1.77367   0.0149843
         599     1.70449     1.77356   0.0149597
         600     1.70953     1.77345   0.0149351
         601     1.71443     1.77335   0.0149106
         602     1.71916     1.77326   0.0148861
         603     1.72372     1.77318   0.0148617
         604     1.72807      1.7731   0.0148372
         605     1.73222     1.77304   0.0148129
         606     1.73613     1.77297   0.0147885
         607     1.73981     1.77292   0.0147643
         608     1.74324     1.77287   0.0147401
         609     1.74642     1.77283   0.0147159
         610     1.74934     1.77279   0.0146919
         611       1.752     1.77276   0.0146679
         612     1.75441     1.77273   0.0146439
         613     1.75657      1.7727   0.0146201
         614     1.75849     1.77268   0.0145963
         615     1.76018     1.77266   0.0145726
         616     1.76165     1.77264   0.0145489
         617     1.76292     1.77262   0.0145253
         618     1.76399     1.77261   0.0145018
         619      1.7649      1.7726   0.0144784
         620     1.76566     1.77258   0.0144551
         621     1.76628     1.77257   0.0144318
         622     1.76679     1.77256   0.0144086
         623      1.7672     1.77256   0.0143855
         624     1.76752     1.77255   0.0143624
         625     1.76778     1.77254   0.0143394
         626     1.76798     1.77253   0.0143165
         627     1.76813     1.77253   0.0142937
         628     1.76826     1.77252   0.0142709
         629     1.76835     1.77251   0.0142483
         630     1.76842     1.77251   0.0142256
         631     1.76848      1.7725   0.0142031
         632     1.76852     1.77249   0.0141806
         633     1.76854     1.77249   0.0141582
         634     1.76854     1.77248   0.0141359
         635     1.76851     1.77247   0.0141136
         636     1.76846     1.77247   0.0140914
         637     1.76838     1.77246   0.0140693
         638     1.76825     1.77246   0.0140473
         639     1.76808     1.77245   0.0140253
         640     1.76786     1.77244   0.0140034
         641     1.76759     1.77243   0.0139815
         642     1.76727     1.77243   0.0139598
         643     1.76688     1.77242   0.0139381
         644     1.76644     1.77241   0.0139164
         645     1.76595      1.7724   0.0138948
         646     1.76541     1.77239   0.0138733
         647     1.76482     1.77238   0.0138519
         648     1.76419     1.77236   0.0138305
         649     1.76354     1.77235   0.0138092
         650     1.76286     1.77233    0.013788
         651     1.76218     1.77232   0.0137668
         652      1.7615      1.7723   0.0137457
         653     1.76084     1.77228   0.0137247
         654     1.76019     1.77227   0.0137037
         655     1.75959     1.77225   0.0136828
         656     1.75902     1.77223   0.0136619
         657     1.75851     1.77221   0.0136412
         658     1.75805     1.77218   0.0136205
         659     1.75765     1.77216   0.0135998
         660      1.7573     1.77214   0.0135792
         661     1.75701     1.77212   0.0135587
         662     1.75676     1.77209   0.0135382
         663     1.75656     1.77207   0.0135178
         664      1.7564     1.77205   0.0134975
         665     1.75625     1.77202   0.0134772
         666     1.75612       1.772    0.013457
         667     1.75599     1.77198   0.0134368
         668     1.75585     1.77195   0.0134168
         669     1.75569     1.77193   0.0133967
         670     1.75549      1.7719   0.0133768
         671     1.75526     1.77188   0.0133568
         672     1.75498     1.77185    0.013337
         673     1.75465     1.77183   0.0133172
         674     1.75426      1.7718   0.0132975
         675     1.75382     1.77177   0.0132778
         676     1.75332     1.77175   0.0132582
         677     1.75278     1.77172   0.0132386
         678      1.7522     1.77169   0.0132191
         679     1.75157     1.77166   0.0131997
         680     1.75093     1.77163   0.0131803
         681     1.75027      1.7716    0.013161
         682      1.7496     1.77157   0.0131417
         683     1.74896     1.77153   0.0131225
         684     1.74834      1.7715   0.0131034
         685     1.74776     1.77146   0.0130843
         686     1.74724     1.77143   0.0130653
         687      1.7468     1.77139   0.0130463
         688     1.74645     1.77136   0.0130274
         689     1.74621     1.77132   0.0130086
         690     1.74608     1.77128   0.0129897
         691     1.74608     1.77125    0.012971
         692     1.74623     1.77121   0.0129523
         693     1.74652     1.77118   0.0129337
         694     1.74697     1.77114   0.0129151
         695     1.74759     1.77111   0.0128965
         696     1.74837     1.77107   0.0128781
         697     1.74932     1.77104   0.0128596
         698     1.75044     1.77101   0.0128412
         699     1.75172     1.77099   0.0128229
         700     1.75316     1.77096   0.0128046
         701     1.75475     1.77094   0.0127863
         702     1.75648     1.77092   0.0127681
         703     1.75834      1.7709     0.01275
         704     1.76031     1.77088   0.0127319
         705     1.76236     1.77087   0.0127138
         706      1.7645     1.77086   0.0126958
         707     1.76668     1.77086   0.0126779
         708     1.76891     1.77085     0.01266
         709     1.77114     1.77085   0.0126421
         710     1.77335     1.77086   0.0126243
         711     1.77554     1.77086   0.0126066
         712     1.77766     1.77087   0.0125889
         713      1.7797     1.77089   0.0125712
         714     1.78164      1.7709   0.0125536
         715     1.78345     1.77092   0.0125361
         716     1.78511     1.77094   0.0125186
         717      1.7866     1.77096   0.0125011
         718      1.7879     1.77098   0.0124837
         719       1.789     1.77101   0.0124664
         720     1.78988     1.77104   0.0124491
         721     1.79053     1.77106   0.0124319
         722     1.79094     1.77109   0.0124147
         723      1.7911     1.77112   0.0123976
         724     1.79101     1.77115   0.0123805
         725     1.79067     1.77117   0.0123634
         726     1.79008      1.7712   0.0123464
         727     1.78924     1.77122   0.0123294
         728     1.78816     1.77125   0.0123125
         729     1.78684     1.77127   0.0122957
         730      1.7853     1.77129   0.0122788
         731     1.78355      1.7713   0.0122621
         732     1.78161     1.77132   0.0122453
         733     1.77948     1.77133   0.0122286
         734      1.7772     1.77134   0.0122119
         735     1.77477     1.77134   0.0121953
         736     1.77222     1.77134   0.0121788
         737     1.76957     1.77134   0.0121622
